rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
191	biotin	O95998	IL18BP	Isoform A of Interleukin-18-binding protein	Homo sapiens	7AL7	A	1.80	X-RAY DIFFRACTION	2022-04-20	1.000	0.805	63-194	O95998-2	31-194	63-194	ILP-H82E3	https://www.acrobiosystems.com/products/protein/il-18bp-human-ilp-h82e3	True	21.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
192	biotin	Q01638	IL1RL1	Isoform A of Interleukin-1 receptor-like 1	Homo sapiens	4KC3	B	3.27	X-RAY DIFFRACTION	2013-08-28	0.997	0.997	19-322	Q01638-1	19-323	19-322	IL1-H82E9	https://www.acrobiosystems.com/products/protein/il-1rl1-human-il1-h82e9	True	38.0	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
193	biotin	P60568	IL2	Interleukin-2	Homo sapiens	8SOZ	A	1.64	X-RAY DIFFRACTION	2024-09-04	1.000	1.000	21-153	P60568-1	21-153	21-153	IL2-H82E5	https://www.acrobiosystems.com/products/protein/il-2-human-il2-h82e5	True	19.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, 0.5 M Arginine, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
194	biotin	P01589	IL2RA	Interleukin-2 receptor subunit alpha	Homo sapiens	6YIO	B	1.83	X-RAY DIFFRACTION	2020-11-11	1.000	1.000	22-213	P01589-1	22-213	22-213	ILA-H82E6	https://www.acrobiosystems.com/products/protein/il-2-r-alpha-human-ila-h82e6	True	25.4	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0	100.0	SDS-PAGE, SEC-MALS, HABA assay / binding ELISA, sterility and endotoxin tests, mycoplasma test
195	biotin	P14784	IL2RB	Interleukin-2 receptor subunit beta	Homo sapiens	5M5E	B	2.30	X-RAY DIFFRACTION	2017-05-03	1.000	1.000	27-239	P14784-1	27-239	27-239	ILB-H82E3	https://www.acrobiosystems.com/products/protein/il-2-r-beta-human-ilb-h82e3	True	28.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
196	biotin	P31785	IL2RG	Isoform 1 of Cytokine receptor common subunit gamma	Homo sapiens	5M5E	C	2.30	X-RAY DIFFRACTION	2017-05-03	1.000	1.000	23-254	P31785-1	23-254	23-254	ILG-H85E8	https://www.acrobiosystems.com/products/protein/il-2-r-gamma-human-ilg-h85e8	True	31.0	Lyophilized	Baculovirus-Insect cells	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	95.0		HABA assay / binding ELISA
197	biotin	Q9NYY1	IL20	Isoform 1 of Interleukin-20	Homo sapiens	4DOH	A	2.80	X-RAY DIFFRACTION	2012-07-18	1.000	1.000	25-176	Q9NYY1-1	25-176	25-176	IL0-H82E3	https://www.acrobiosystems.com/products/protein/il-20-human-il0-h82e3	True	21.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
198	biotin	Q9HBE4	IL21	Isoform 1 of Interleukin-21	Homo sapiens	3TGX	B	2.80	X-RAY DIFFRACTION	2012-02-15	1.000	1.000	30-162	Q9HBE4-1	30-162	30-162	IL1-H82F7	https://www.acrobiosystems.com/products/protein/il-21-human-il1-h82f7	True	43.6	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0	20.0	sterility and endotoxin tests, HABA assay / binding ELISA, SDS-PAGE
199	biotin	Q9GZX6	IL22	Interleukin-22	Homo sapiens	1M4R	A	2.00	X-RAY DIFFRACTION	2003-07-07	1.000	1.000	34-179	Q9GZX6-1	34-179	34-179	IL2-H8247	https://www.acrobiosystems.com/products/protein/il-22-human-il2-h8247	True	20.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
200	biotin	Q969J5	IL22RA2	Isoform 2 of Interleukin-22 receptor subunit alpha-2	Homo sapiens	3G9V	A	2.76	X-RAY DIFFRACTION	2009-04-14	1.000	1.000	22-231	Q969J5-2	22-231	22-231	ILP-H82F6	https://www.acrobiosystems.com/products/protein/il-22bp-human-ilp-h82f6	True	52.8	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
201	biotin	Q5VWK5	IL23R	Isoform 1 of Interleukin-23 receptor	Homo sapiens	8OE4	C	3.60	ELECTRON MICROSCOPY	2024-02-07	1.000	0.994	24-353	Q5VWK5-1	24-355	24-353	ILR-H82F3	https://www.acrobiosystems.com/products/protein/il-23-r-human-ilr-h82f3	True	66.3	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
202	biotin	Q8IU57	IFNLR1	Isoform 1 of Interferon lambda receptor 1	Homo sapiens	5T5W	B	2.85	X-RAY DIFFRACTION	2017-03-29	0.995	1.000	21-228	Q8IU57-1	21-228	21-228	ILR-H82E4	https://www.acrobiosystems.com/products/protein/il-28-r-alpha-human-ilr-h82e4	True	27.2	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
203	biotin	P26951	IL3RA	Isoform 1 of Interleukin-3 receptor subunit alpha	Homo sapiens	5UWC	G	2.40	X-RAY DIFFRACTION	2018-02-07	0.993	0.997	20-305	P26951-1	19-305	20-305	ILA-H8214	https://www.acrobiosystems.com/products/protein/il-3-r-alpha-human-ila-h8214	True	35.3	Lyophilized	HEK293	Avi tag (Avitag™) at the C-terminus					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
204	biotin	O95760	IL33	Isoform 1 of Interleukin-33	Homo sapiens	2KLL	A		SOLUTION NMR	2009-11-17	1.000	0.988	111-270	O95760-1	109-270	111-270	IL3-H82H5	https://www.acrobiosystems.com/products/protein/il-33-human-il3-h82h5	True	21.9	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
205	biotin	Q6ZMJ4	IL34	Isoform 1 of Interleukin-34	Homo sapiens	4DKC	A	1.85	X-RAY DIFFRACTION	2012-04-11	1.000	0.779	21-193	Q6ZMJ4-1	21-242	21-193	IL4-H82E5	https://www.acrobiosystems.com/products/protein/il-34-human-il4-h82e5	True	29.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
206	biotin	P05112	IL4	Interleukin-4	Homo sapiens	2B8U	A	1.80	X-RAY DIFFRACTION	2006-05-30	1.000	1.000	25-153	AAH67514	25-153	25-153	IL4-H82E0	https://www.acrobiosystems.com/products/protein/il-4-human-il4-h82e0	True	17.6	Lyophilized	HEK293	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -70°C (after reconstitution)	95.0		HABA assay / binding ELISA
207	biotin	P24394	IL4R	Interleukin-4 receptor subunit alpha	Homo sapiens	8K4Q	A	2.59	X-RAY DIFFRACTION	2024-06-26	1.000	1.000	26-232	NP_000409.1	26-232	26-232	ILR-H82E9	https://www.acrobiosystems.com/products/protein/il-4-r-alpha-human-ilr-h82e9	True	26.9	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the C-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
208	biotin	P05113	IL5	Isoform 1 of Interleukin-5	Homo sapiens	3QT2	C	2.55	X-RAY DIFFRACTION	2012-02-01	1.000	1.000	20-134	P05113-1	20-134	20-134	IL5-H82Q5	https://www.acrobiosystems.com/products/protein/il-5-human-il5-h82q5	True	16.7	Lyophilized	HEK293	polyhistidine tag at the N-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
209	biotin	Q01344	IL5RA	Isoform 1 of Interleukin-5 receptor subunit alpha	Homo sapiens	8TLD	F	3.60	ELECTRON MICROSCOPY	2024-04-10	1.000	0.997	21-341	Q01344-1	21-342	21-341	ILA-H82F5	https://www.acrobiosystems.com/products/protein/il-5-r-alpha-human-ila-h82f5	True	64.9	Lyophilized	HEK293	Avi tag (Avitag™) at the N-terminus, human IgG1 Fc tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
210	biotin	P05231	IL6	Interleukin-6	Homo sapiens	1ALU	A	1.90	X-RAY DIFFRACTION	1998-06-03	1.000	1.000	30-212	P05231-1	30-212	30-212	IL6-H82Q9	https://www.acrobiosystems.com/products/protein/il-6-human-il6-h82q9	True	24.4	Lyophilized	human 293 cells (HEK293)	Avi tag (Avitag™) at the N-terminus, followed by a polyhistidine tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
211	biotin	P08887	IL6R	Isoform 1 of Interleukin-6 receptor subunit alpha	Homo sapiens	8QY5	C	3.10	ELECTRON MICROSCOPY	2024-02-21	1.000	1.000	20-365	P08887-1	20-365	20-365	CD6-H82E8	https://www.acrobiosystems.com/products/protein/il-6-r-alpha-human-cd6-h82e8	True	41.7	Lyophilized	human 293 cells (HEK293)	Avitag, His Tag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA, SDS-PAGE
212	biotin	P16871	IL7R	Isoform 1 of Interleukin-7 receptor subunit alpha	Homo sapiens	3UP1	A	2.15	X-RAY DIFFRACTION	2012-02-08	0.995	1.000	21-239	P16871-1	21-239	21-239	IL7-H82F9	https://www.acrobiosystems.com/products/protein/il-7-r-alpha-human-il7-h82f9	True	53.5	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	90.0		HABA assay / binding ELISA
213	biotin	P10145	CXCL8	Interleukin-8	Homo sapiens	6N2U	A	1.25	X-RAY DIFFRACTION	2019-11-20	1.000	1.000	28-99	P10145-1	28-99	28-99	IL8-H82H3	https://www.acrobiosystems.com/products/protein/il-8-human-il8-h82h3	True	12.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
214	biotin	P01854	IGHE	Isoform 1 of Immunoglobulin heavy constant epsilon	Homo sapiens	5MOL	A	1.75	X-RAY DIFFRACTION	2018-01-10	0.994	1.000	106-427	P01854-1	106-427	106-427	IGE-H82E3	https://www.acrobiosystems.com/products/protein/ige-fc-human-ige-h82e3	True	39.3	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0		HABA assay / binding ELISA
